EVENT_YEAR_MONTH,COUNT_OF_EVENTS,REPORTER,PARTNER,Commodity,NETWEIGHT,TRADEVALUEINUSD,TOTAL_SOLD_USD,PRODUCERPRICE,DISTANCE_COUNTRIES
201809,1363,France,Ukraine,Wheat,1290293,334605,4.31738489265E11,191.1444218,2687
201809,1363,Lithuania,Russian Federation,Wheat,20000,6997,1.3994E8,191.1444218,4484
201809,1363,Finland,Russian Federation,Steel,1,13,13.0,245.2,3922
201809,1363,Hungary,Russian Federation,Wheat,20000,3935,7.87E7,191.1444218,5342
201809,1363,Hungary,Ukraine,Wheat,17685,5261,9.3040785E7,191.1444218,1194
201809,1363,Poland,Russian Federation,Wheat,90000,56474,5.08266E9,191.1444218,4961
201809,1363,Russian Federation,Ukraine,Steel,52000,40470,2.10444E9,245.2,4663
201809,1363,EU,Ukraine,Wheat,1028301,949397,9.76265884497E11,191.1444218,803
201809,1363,China,Ukraine,Steel,21000,15469,3.24849E8,245.2,5943
201809,1363,Serbia,Ukraine,Wheat,23125,40384,9.3388E8,191.1444218,1650
201809,1363,EU,Ukraine,Steel,4625,31005,1.43398125E8,245.2,803
201809,1363,Slovenia,Russian Federation,Wheat,63,52,3276.0,191.1444218,5645
201809,1363,Belarus,Russian Federation,Steel,278000,127900,3.55562E10,245.2,4403
201809,1363,Kazakhstan,Russian Federation,Wheat,1,2363226,2363226.0,191.1444218,2822
201809,1363,Kazakhstan,Ukraine,Wheat,1,160516,160516.0,191.1444218,3674
201809,1363,Czech Rep.,Russian Federation,Steel,15000,10371,1.55565E8,245.2,5306
201809,1363,Germany,Ukraine,Wheat,148563,146183,2.1717385029E10,191.1444218,1743
201809,1363,Germany,Russian Federation,Wheat,87,101,8787.0,191.1444218,5417
201809,1363,Poland,Ukraine,Wheat,150088,72748,1.0918601824E10,191.1444218,1214
201809,1363,EU,Russian Federation,Wheat,184040,113068,2.080903472E10,191.1444218,4927
201809,1363,Belarus,Russian Federation,Wheat,70000,31500,2.205E9,191.1444218,4403
201809,1363,Germany,Ukraine,Steel,4625,31005,1.43398125E8,245.2,1743
201809,1363,Germany,Russian Federation,Steel,17415,52067,9.06746805E8,245.2,5417
201809,1363,EU,Russian Federation,Steel,32416,62445,2.02421712E9,245.2,4927
201809,1363,Russian Federation,Ukraine,Wheat,216400,55144,1.19331616E10,191.1444218,4663
201809,1363,Czech Rep.,Russian Federation,Wheat,20000,17808,3.5616E8,191.1444218,5306
201809,1363,Czech Rep.,Ukraine,Wheat,364800,279966,1.021315968E11,191.1444218,1410
201809,1363,Romania,Ukraine,Wheat,33760,36086,1.21826336E9,191.1444218,781
201809,1363,Spain,Russian Federation,Aluminium,21902,78915,1.72839633E9,2026.4625,7015
201809,1363,Kazakhstan,Russian Federation,Aluminium,1,118481,118481.0,2026.4625,2822
201809,1363,United States of America,Russian Federation,Aluminium,981,122192,1.19870352E8,2026.4625,8909
201809,1363,Brazil,Russian Federation,StainlessSteel,1911,19620,3.749382E7,105.3,14442
201809,1363,Vietnam,Russian Federation,Gas,10711,76019,8.14239509E8,210.7,5280
201809,1363,Vietnam,Russian Federation,StainlessSteel,35445,430716,1.526672862E10,105.3,5280
201809,1363,Switzerland,Russian Federation,StainlessSteel,8,489,3912.0,105.3,5899
201809,1363,China,Russian Federation,Gas,410971,2359195,9.69560728345E11,210.7,2853
201809,1363,China,Russian Federation,Aluminium,19724,62002,1.222927448E9,2026.4625,2853
201809,1363,China,Russian Federation,CastIron,74484,183245,1.364882058E10,277.8,2853
201809,1363,China,Russian Federation,StainlessSteel,1233070,5660398,6.97966696186E12,105.3,2853
201809,1363,Netherlands,Russian Federation,RapeseedOil,71,1351,95921.0,841.173709,5555
201809,1363,Netherlands,Russian Federation,CastIron,1393,39261,5.4690573E7,277.8,5555
201809,1363,Netherlands,Russian Federation,StainlessSteel,600,18417,1.10502E7,105.3,5555
201809,1363,Netherlands,Russian Federation,Gas,5866,27755,1.6281083E8,210.7,5555
201809,1363,Norway,Russian Federation,CastIron,2093,9569,2.0027917E7,277.8,4727
201809,1363,ASEAN,Russian Federation,Gas,10711,76019,8.14239509E8,210.7,6381
201809,1363,ASEAN,Russian Federation,StainlessSteel,36899,448384,1.6544921216E10,105.3,6381
201809,1363,Germany,Russian Federation,Barley,2500,3262,8155000.0,95.43332011,5417
201809,1363,Germany,Russian Federation,SunflowerOil,73,548,40004.0,857.5451042,5417
201809,1363,Germany,Russian Federation,Gas,6347,96339,6.11463633E8,210.7,5417
201809,1363,Germany,Russian Federation,CastIron,19230,338113,6.50191299E9,277.8,5417
201809,1363,Germany,Russian Federation,StainlessSteel,17042,242372,4.130503624E9,105.3,5417
201809,1363,Spain,Russian Federation,Gas,70060,923268,6.468415608E10,210.7,7015
201809,1363,Spain,Russian Federation,CastIron,1,1563,1563.0,277.8,7015
201809,1363,Spain,Russian Federation,StainlessSteel,114,4596,523944.0,105.3,7015
201809,1363,Slovakia,Russian Federation,StainlessSteel,95,993,94335.0,105.3,5204
201809,1363,Slovakia,Russian Federation,CastIron,2814,7516,2.1150024E7,277.8,5204
201809,1363,Slovakia,Russian Federation,SunflowerOil,50,105,5250.0,857.5451042,5204
201809,1363,Latvia,Russian Federation,CastIron,363,2544,923472.0,277.8,4323
201809,1363,Latvia,Russian Federation,StainlessSteel,882,25953,2.2890546E7,105.3,4323
201809,1363,Armenia,Russian Federation,CastIron,16,16,256.0,277.8,4633
201809,1363,Armenia,Russian Federation,StainlessSteel,2176,1569,3414144.0,105.3,4633
201809,1363,Armenia,Russian Federation,Gas,1218,5214,6350652.0,210.7,4633
201809,1363,Italy,Russian Federation,CastIron,545,19711,1.0742495E7,277.8,9398
201809,1363,Italy,Russian Federation,StainlessSteel,5798,130296,7.55456208E8,105.3,9398
201809,1363,Italy,Russian Federation,SunflowerOil,1157,2297,2657629.0,857.5451042,9398
201809,1363,South Africa,Russian Federation,IronOre,80000,14570,1.1656E9,68.8,12569
201809,1363,Thailand,Russian Federation,StainlessSteel,3777,17667,6.6728259E7,105.3,5085
201809,1363,Peru,Russian Federation,Copper,10522300,15949281,1.678231194663E14,6050.7625,14187
201809,1363,Rep. of Korea,Russian Federation,Gas,434,1527,662718.0,210.7,3253
201809,1363,Rep. of Korea,Russian Federation,StainlessSteel,4203,27222,1.14414066E8,105.3,3253
201809,1363,Azerbaijan,Russian Federation,SunflowerOil,10,110,1100.0,857.5451042,4492
201809,1363,Azerbaijan,Russian Federation,CrudePetroleum,63960,33054,2.11413384E9,212.6,4492
201809,1363,Kazakhstan,Russian Federation,CastIron,0,8,0.0,277.8,2822
201809,1363,Kazakhstan,Russian Federation,Copper,45172,32126039,1.451197433708E12,6050.7625,2822
201809,1363,Kazakhstan,Russian Federation,Coal,28095,250332,7.03307754E9,122.2291071,2822
201809,1363,Kazakhstan,Russian Federation,CrudePetroleum,1,819534,819534.0,212.6,2822
201809,1363,Kazakhstan,Russian Federation,SunflowerOil,1,5088,5088.0,857.5451042,2822
201809,1363,Kazakhstan,Russian Federation,IronOre,116725928,36900748,4.307274054194144E15,68.8,2822
201809,1363,Kazakhstan,Russian Federation,Gas,18,52487,944766.0,210.7,2822
