,Date,Amount,Commodity
0,2018-01-01,218.7,Steel
1,2018-02-01,223.7,Steel
2,2018-03-01,224.8,Steel
3,2018-04-01,231.1,Steel
4,2018-05-01,235.0,Steel
5,2018-06-01,238.2,Steel
6,2018-07-01,240.5,Steel
7,2018-08-01,243.6,Steel
8,2018-09-01,245.2,Steel
9,2018-10-01,249.3,Steel
10,2018-11-01,255.1,Steel
11,2018-12-01,250.0,Steel
12,2019-01-01,241.1,Steel
13,2019-02-01,236.6,Steel
14,2019-03-01,235.0,Steel
15,2019-04-01,230.3,Steel
16,2019-05-01,225.9,Steel
17,2019-06-01,218.9,Steel
18,2019-07-01,214.3,Steel
19,2019-08-01,217.1,Steel
20,2019-09-01,213.4,Steel
21,2019-10-01,210.9,Steel
22,2019-11-01,212.1,Steel
23,2019-12-01,210.4,Steel
24,2020-01-01,212.3,Steel
25,2020-02-01,209.8,Steel
26,2020-03-01,207.1,Steel
27,2020-04-01,201.3,Steel
28,2020-05-01,200.3,Steel
29,2020-06-01,200.7,Steel
30,2020-07-01,198.9,Steel
31,2020-08-01,199.8,Steel
32,2020-09-01,206.5,Steel
33,2020-10-01,211.9,Steel
34,2020-11-01,218.1,Steel
35,2020-12-01,234.2,Steel
36,2021-01-01,250.8,Steel
37,2021-02-01,261.3,Steel
38,2021-03-01,287.4,Steel
39,2021-04-01,315.6,Steel
40,2021-05-01,327.4,Steel
41,2021-06-01,350.0,Steel
42,2021-07-01,379.196,Steel
43,2021-08-01,394.309,Steel
44,2021-09-01,408.305,Steel
45,2021-10-01,426.946,Steel
46,2021-11-01,447.820,Steel
47,2021-12-01,440.275,Steel
48,2022-01-01,423.397,Steel
49,2022-02-01,395.883,Steel
50,2022-03-01,390.992,Steel
51,2022-04-01,398.482,Steel
52,2022-05-01,418.037,Steel
53,2022-06-01,406.599,Steel
54,2022-07-01,389.089,Steel
55,2022-08-01,372.853,Steel
56,2022-09-01,356.019,Steel
0,2018-01-01,156.388044126984,Wheat
1,2018-02-01,172.289119122807,Wheat
2,2018-03-01,180.918815873016,Wheat
3,2018-04-01,180.376409365079,Wheat
4,2018-05-01,192.70383,Wheat
5,2018-06-01,193.07921984127,Wheat
6,2018-07-01,196.806077460317,Wheat
7,2018-08-01,211.29205884058,Wheat
8,2018-09-01,191.144421754386,Wheat
9,2018-10-01,188.461606666667,Wheat
10,2018-11-01,181.552390877193,Wheat
11,2018-12-01,188.535836296296,Wheat
12,2019-01-01,188.84494968254,Wheat
13,2019-02-01,177.916701754386,Wheat
14,2019-03-01,164.506644761905,Wheat
15,2019-04-01,159.030088730159,Wheat
16,2019-05-01,158.281695,Wheat
17,2019-06-01,174.697763166667,Wheat
18,2019-07-01,163.876753333333,Wheat
19,2019-08-01,149.363005,Wheat
20,2019-09-01,146.570486333333,Wheat
21,2019-10-01,153.22109,Wheat
22,2019-11-01,157.528264259259,Wheat
23,2019-12-01,165.254640833333,Wheat
24,2020-01-01,178.241777301587,Wheat
25,2020-02-01,172.231102807018,Wheat
26,2020-03-01,170.874751666667,Wheat
27,2020-04-01,179.746517936508,Wheat
28,2020-05-01,174.954968833333,Wheat
29,2020-06-01,169.722336666667,Wheat
30,2020-07-01,170.574121666667,Wheat
31,2020-08-01,174.182476984127,Wheat
32,2020-09-01,204.137313809524,Wheat
33,2020-10-01,203.4263,Wheat
34,2020-11-01,210.753936491228,Wheat
35,2020-12-01,217.312542857143,Wheat
36,2021-01-01,237.944249824561,Wheat
37,2021-02-01,240.806388070175,Wheat
38,2021-03-01,229.887549275362,Wheat
39,2021-04-01,239.936143333333,Wheat
40,2021-05-01,278.447005396825,Wheat
41,2021-06-01,238.767026666667,Wheat
42,2021-07-01,243.628006984127,Wheat
43,2021-08-01,274.87603,Wheat
44,2021-09-01,269.733507301587,Wheat
45,2021-10-01,294.036818253968,Wheat
46,2021-11-01,317.437354813333,Wheat
47,2021-12-01,324.017900555555,Wheat
48,2022-01-01,326.081669833333,Wheat
49,2022-02-01,347.5032275,Wheat
50,2022-03-01,387.665013697101,Wheat
51,2022-04-01,406.026886301667,Wheat
52,2022-05-01,444.15656781746,Wheat
53,2022-06-01,397.6523199,Wheat
54,2022-07-01,321.97512765873,Wheat
55,2022-08-01,323.016768768116,Wheat
0,2018-01-01,111.93262987013,Coal
1,2018-02-01,111.477321428571,Coal
2,2018-03-01,105.72806122449,Coal
3,2018-04-01,99.2233928571427,Coal
4,2018-05-01,109.375,Coal
5,2018-06-01,121.524489795918,Coal
6,2018-07-01,125.085876623376,Coal
7,2018-08-01,123.734902597402,Coal
8,2018-09-01,122.229107142857,Coal
9,2018-10-01,114.762111801242,Coal
10,2018-11-01,107.552922077922,Coal
11,2018-12-01,106.143609022556,Coal
12,2019-01-01,105.401298701298,Coal
13,2019-02-01,101.357142857143,Coal
14,2019-03-01,99.6698979591835,Coal
15,2019-04-01,88.7646428571427,Coal
16,2019-05-01,89.5642857142855,Coal
17,2019-06-01,77.6298214285713,Coal
18,2019-07-01,77.8458074534159,Coal
19,2019-08-01,69.7392857142855,Coal
20,2019-09-01,66.9586734693876,Coal
21,2019-10-01,69.1942546583849,Coal
22,2019-11-01,69.7290816326529,Coal
23,2019-12-01,70.4646428571427,Coal
24,2020-01-01,72.1061688311687,Coal
25,2020-02-01,71.0501785714284,Coal
26,2020-03-01,70.20487012987,Coal
27,2020-04-01,64.6199999999999,Coal
28,2020-05-01,54.1483082706766,Coal
29,2020-06-01,55.0027597402597,Coal
30,2020-07-01,51.672204968944,Coal
31,2020-08-01,51.3824999999999,Coal
32,2020-09-01,52.0056818181817,Coal
33,2020-10-01,58.0694805194804,Coal
34,2020-11-01,62.9464285714284,Coal
35,2020-12-01,80.5897959183672,Coal
36,2021-01-01,90.995357142857,Coal
37,2021-02-01,92.4857142857141,Coal
38,2021-03-01,95.2309006211178,Coal
39,2021-04-01,97.8476785714283,Coal
40,2021-05-01,104.207142857143,Coal
41,2021-06-01,132.152922077922,Coal
42,2021-07-01,153.198214285714,Coal
43,2021-08-01,173.568367346938,Coal
44,2021-09-01,188.122889610389,Coal
45,2021-10-01,240.732142857142,Coal
46,2021-11-01,177.801623376623,Coal
47,2021-12-01,181.473979591836,Coal
48,2022-01-01,231.760178571428,Coal
49,2022-02-01,272.486785714285,Coal
50,2022-03-01,353.440527950356,Coal
51,2022-04-01,334.718233082678,Coal
52,2022-05-01,418.493877551035,Coal
53,2022-06-01,427.424999999999,Coal
54,2022-07-01,433.626530612249,Coal
55,2022-08-01,447.447564935064,Coal
0,2018-01-01,198.6,Gas
1,2018-02-01,206.5,Gas
2,2018-03-01,193.9,Gas
3,2018-04-01,196.1,Gas
4,2018-05-01,204.2,Gas
5,2018-06-01,208.4,Gas
6,2018-07-01,206.2,Gas
7,2018-08-01,209.3,Gas
8,2018-09-01,210.7,Gas
9,2018-10-01,224.8,Gas
10,2018-11-01,195.2,Gas
11,2018-12-01,172.7,Gas
12,2019-01-01,155.9,Gas
13,2019-02-01,166.9,Gas
14,2019-03-01,179.6,Gas
15,2019-04-01,200.5,Gas
16,2019-05-01,197.3,Gas
17,2019-06-01,185.4,Gas
18,2019-07-01,186.5,Gas
19,2019-08-01,182.6,Gas
20,2019-09-01,177.1,Gas
21,2019-10-01,187.7,Gas
22,2019-11-01,183.9,Gas
23,2019-12-01,193.4,Gas
24,2020-01-01,191.3,Gas
25,2020-02-01,182.7,Gas
26,2020-03-01,132.4,Gas
27,2020-04-01,60.5,Gas
28,2020-05-01,84.1,Gas
29,2020-06-01,116.9,Gas
30,2020-07-01,125.8,Gas
31,2020-08-01,129.2,Gas
32,2020-09-01,130.7,Gas
33,2020-10-01,132.6,Gas
34,2020-11-01,129.3,Gas
35,2020-12-01,153.9,Gas
36,2021-01-01,169.3,Gas
37,2021-02-01,188.7,Gas
38,2021-03-01,198.7,Gas
39,2021-04-01,199.6,Gas
40,2021-05-01,202.1,Gas
41,2021-06-01,213.6,Gas
42,2021-07-01,222.460,Gas
43,2021-08-01,226.861,Gas
44,2021-09-01,237.064,Gas
45,2021-10-01,253.106,Gas
46,2021-11-01,260.541,Gas
47,2021-12-01,255.880,Gas
48,2022-01-01,264.205,Gas
49,2022-02-01,302.371,Gas
50,2022-03-01,319.645,Gas
51,2022-04-01,309.727,Gas
52,2022-05-01,336.666,Gas
53,2022-06-01,395.066,Gas
54,2022-07-01,325.871,Gas
55,2022-08-01,285.505,Gas
56,2022-09-01,279.920,Gas
0,2018-01-01,100.249663493563,Barley
1,2018-02-01,106.774269622297,Barley
2,2018-03-01,108.987846992471,Barley
3,2018-04-01,112.208269943126,Barley
4,2018-05-01,117.174179091865,Barley
5,2018-06-01,103.489650842792,Barley
6,2018-07-01,99.0122985496339,Barley
7,2018-08-01,98.8701601352608,Barley
8,2018-09-01,95.4333201086106,Barley
9,2018-10-01,102.799517044737,Barley
10,2018-11-01,105.397999338289,Barley
11,2018-12-01,101.919686752465,Barley
12,2019-01-01,102.459223487593,Barley
13,2019-02-01,106.881864838995,Barley
14,2019-03-01,103.896170073376,Barley
15,2019-04-01,100.845793264938,Barley
16,2019-05-01,106.162069313344,Barley
