Classification,Year,Period,Date Mapper,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201803,3/1/2018,18-Mar,6,1,2,Exports,36,Australia,,804,Ukraine,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,21000,,61918,,,0
HS,2018,201809,9/1/2018,18-Sep,4,0,2,Exports,203,Czech Rep.,,804,Ukraine,,,,,,,,,1003,Barley,,,,,,,48000,,47083,,,0
HS,2018,201809,9/1/2018,18-Sep,6,1,2,Exports,203,Czech Rep.,,804,Ukraine,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,277,,2541,,,0
HS,2018,201809,9/1/2018,18-Sep,6,1,2,Exports,203,Czech Rep.,,804,Ukraine,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,44525,,178524,,,0
HS,2018,201802,2/1/2018,18-Feb,6,1,2,Exports,276,Germany,,804,Ukraine,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,1279,,112085,,,0
HS,2018,201804,4/1/2018,18-Apr,6,1,2,Exports,112,Belarus,,804,Ukraine,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,78885,,273200,,,0
HS,2018,201802,2/1/2018,18-Feb,6,1,2,Exports,97,EU,,804,Ukraine,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,143161,,802602,,,0
HS,2018,201802,2/1/2018,18-Feb,6,1,2,Exports,97,EU,,804,Ukraine,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,73875,,73823,,,0
HS,2018,201802,2/1/2018,18-Feb,6,1,2,Exports,97,EU,,804,Ukraine,,,,,,,,,151411,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",,,,,,,2160,,3087,,,0
HS,2018,201802,2/1/2018,18-Feb,6,1,2,Exports,97,EU,,804,Ukraine,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,3168919,,7467794,,,0
