Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202001,Jan-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,4542558234,,741864511,,,0
HS,2020,202002,Feb-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,3457330017,,579171063,,,0
HS,2020,202003,Mar-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,3529466996,,604540750,,,0
HS,2020,202004,Apr-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,3091426901,,526109953,,,0
HS,2020,202005,May-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,2379071731,,410738491,,,0
HS,2020,202006,Jun-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,1546693714,,269086399,,,0
HS,2020,202007,Jul-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,424651892,,74786559,,,0
HS,2020,202008,Aug-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,178791438,,33535403,,,0
HS,2020,202009,Sep-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,29238965,,4486524,,,0
HS,2020,202010,Oct-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,1842463143,,322439882,,,0
HS,2020,202012,Dec-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,3824475217,,743753078,,,0
HS,2020,202001,Jan-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,35216063,,9038752,,,0
HS,2020,202002,Feb-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,30473086,,8036147,,,0
HS,2020,202003,Mar-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,18367841,,4958100,,,0
HS,2020,202004,Apr-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,21708934,,5869461,,,0
HS,2020,202005,May-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,19705642,,5376509,,,0
HS,2020,202006,Jun-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,17553376,,4733661,,,0
HS,2020,202007,Jul-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,18618896,,4886719,,,0
HS,2020,202008,Aug-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,16282710,,4151356,,,0
HS,2020,202009,Sep-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,14584547,,3898071,,,0
HS,2020,202010,Oct-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,11441297,,3140068,,,0
HS,2020,202012,Dec-20,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,9705171,,3072874,,,0
HS,2020,202001,Jan-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,15947,,157720,,,0
HS,2020,202002,Feb-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,18029,,119662,,,0
HS,2020,202003,Mar-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,15630,,103690,,,0
HS,2020,202004,Apr-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,1518,,28407,,,0
HS,2020,202005,May-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,11860,,73613,,,0
HS,2020,202006,Jun-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,11393,,70055,,,0
HS,2020,202007,Jul-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,26472,,185836,,,0
HS,2020,202008,Aug-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,26580,,190066,,,0
HS,2020,202009,Sep-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,22389,,110416,,,0
HS,2020,202010,Oct-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,13937,,110899,,,0
HS,2020,202012,Dec-20,6,1,2,Exports,804,Ukraine,,0,World,,,,,,,,,830710,"Tubing; flexible, with or without fittings, of iron or steel",,,,,,,7778,,93137,,,0
