Date,Amount,Commodity
1/1/2018,75.7826087,IronOre
2/1/2018,77.65,IronOre
3/1/2018,71.31818182,IronOre
4/1/2018,66.33333333,IronOre
5/1/2018,66.63043478,IronOre
6/1/2018,66.85714286,IronOre
7/1/2018,67.04545455,IronOre
8/1/2018,68.02173913,IronOre
9/1/2018,68.8,IronOre
10/1/2018,72.02173913,IronOre
11/1/2018,72.29545455,IronOre
12/1/2018,68.9047619,IronOre
1/1/2019,75.2,IronOre
2/1/2019,87.59,IronOre
3/1/2019,87.07142857,IronOre
4/1/2019,94.5,IronOre
5/1/2019,101.7608696,IronOre
6/1/2019,109.55,IronOre
7/1/2019,119.5869565,IronOre
8/1/2019,93.5,IronOre
9/1/2019,92.26190476,IronOre
10/1/2019,88.58695652,IronOre
11/1/2019,82.9047619,IronOre
12/1/2019,90.97727273,IronOre
1/1/2020,95.2173913,IronOre
2/1/2020,87.625,IronOre
3/1/2020,88.65909091,IronOre
4/1/2020,83.75,IronOre
5/1/2020,91.33333333,IronOre
6/1/2020,103.3409091,IronOre
7/1/2020,108.0217391,IronOre
8/1/2020,120.0714286,IronOre
9/1/2020,123,IronOre
10/1/2020,119.25,IronOre
11/1/2020,123.5238095,IronOre
12/1/2020,153.0652174,IronOre
1/1/2021,166.7380952,IronOre
2/1/2021,162.325,IronOre
3/1/2021,166.7391304,IronOre
4/1/2021,178.25,IronOre
5/1/2021,202.8571429,IronOre
6/1/2021,215.8157895,IronOre
7/1/2021,214.3409091,IronOre
8/1/2021,162.0909091,IronOre
9/1/2021,113.71875,IronOre
10/1/2021,114.4761905,IronOre
11/1/2021,90.13157895,IronOre
12/1/2021,110.4565217,IronOre
1/1/2022,133.0454545,IronOre
2/1/2022,139.7,IronOre
3/1/2022,147.3478261,IronOre
4/1/2022,146.6666667,IronOre
5/1/2022,131.0909091,IronOre
6/1/2022,131.0454545,IronOre
7/1/2022,109.047619,IronOre
8/1/2022,109.0652174,IronOre
1/1/2018,935.4752717,SunflowerOil
2/1/2018,951.960625,SunflowerOil
3/1/2018,946.6114583,SunflowerOil
4/1/2018,957.950496,SunflowerOil
5/1/2018,938.9994565,SunflowerOil
6/1/2018,911.6326389,SunflowerOil
7/1/2018,932.146875,SunflowerOil
8/1/2018,889.1387681,SunflowerOil
9/1/2018,857.5451042,SunflowerOil
10/1/2018,855.7242754,SunflowerOil
11/1/2018,818.0677083,SunflowerOil
12/1/2018,814.4223214,SunflowerOil
1/1/2019,827.5307971,SunflowerOil
2/1/2019,847.2195175,SunflowerOil
3/1/2019,840.869246,SunflowerOil
4/1/2019,840.7197917,SunflowerOil
5/1/2019,871.5178442,SunflowerOil
6/1/2019,885.7646875,SunflowerOil
7/1/2019,913.1554348,SunflowerOil
8/1/2019,908.6760417,SunflowerOil
9/1/2019,904.0559524,SunflowerOil
10/1/2019,884.9619565,SunflowerOil
11/1/2019,912.6333333,SunflowerOil
12/1/2019,965.0333333,SunflowerOil
1/1/2020,1000.215851,SunflowerOil
2/1/2020,913.6840625,SunflowerOil
3/1/2020,846.996875,SunflowerOil
4/1/2020,878.2458333,SunflowerOil
5/1/2020,900.0531746,SunflowerOil
6/1/2020,963.9416667,SunflowerOil
7/1/2020,974.110779,SunflowerOil
8/1/2020,1033.431448,SunflowerOil
9/1/2020,1188.552083,SunflowerOil
10/1/2020,1198.377083,SunflowerOil
11/1/2020,1348.078373,SunflowerOil
12/1/2020,1432.385326,SunflowerOil
1/1/2021,1551.076389,SunflowerOil
2/1/2021,1653.5475,SunflowerOil
3/1/2021,1972.238225,SunflowerOil
4/1/2021,1919.695833,SunflowerOil
5/1/2021,1936.486706,SunflowerOil
6/1/2021,1586.464583,SunflowerOil
7/1/2021,1560.264583,SunflowerOil
8/1/2021,1678.710417,SunflowerOil
9/1/2021,1601.202083,SunflowerOil
10/1/2021,1735.490079,SunflowerOil
11/1/2021,1746.120833,SunflowerOil
12/1/2021,1685.604529,SunflowerOil
1/1/2022,1703.467857,SunflowerOil
2/1/2022,1829.769792,SunflowerOil
3/1/2022,2487.813406,SunflowerOil
4/1/2022,2536.61746,SunflowerOil
5/1/2022,2498.825,SunflowerOil
6/1/2022,2154.404167,SunflowerOil
7/1/2022,1839.848214,SunflowerOil
8/1/2022,1823.439312,SunflowerOil
1/1/2018,842.578377,RapeseedOil
2/1/2018,822.213361,RapeseedOil
3/1/2018,795.6062241,RapeseedOil
4/1/2018,791.3918538,RapeseedOil
5/1/2018,808.1397704,RapeseedOil
6/1/2018,818.6292624,RapeseedOil
7/1/2018,842.5962409,RapeseedOil
8/1/2018,852.796697,RapeseedOil
9/1/2018,841.173709,RapeseedOil
10/1/2018,870.2382583,RapeseedOil
11/1/2018,850.7943777,RapeseedOil
12/1/2018,819.4095143,RapeseedOil
1/1/2019,839.9407696,RapeseedOil
2/1/2019,818.4664358,RapeseedOil
3/1/2019,801.6790276,RapeseedOil
4/1/2019,800.1981368,RapeseedOil
5/1/2019,814.5119117,RapeseedOil
6/1/2019,832.064788,RapeseedOil
7/1/2019,840.7392926,RapeseedOil
8/1/2019,881.5252168,RapeseedOil
9/1/2019,901.676779,RapeseedOil
10/1/2019,889.8420157,RapeseedOil
11/1/2019,901.0117205,RapeseedOil
12/1/2019,922.311355,RapeseedOil
1/1/2020,940.321453,RapeseedOil
2/1/2020,890.0421225,RapeseedOil
3/1/2020,793.10661,RapeseedOil
4/1/2020,759.3401214,RapeseedOil
5/1/2020,792.7317,RapeseedOil
6/1/2020,848.1638309,RapeseedOil
7/1/2020,891.3357,RapeseedOil
8/1/2020,924.926661,RapeseedOil
9/1/2020,943.4391273,RapeseedOil
10/1/2020,947.8875,RapeseedOil
11/1/2020,952.7903333,RapeseedOil
12/1/2020,978.2745,RapeseedOil
1/1/2021,979.961,RapeseedOil
2/1/2021,1165.223825,RapeseedOil
3/1/2021,1219.656413,RapeseedOil
4/1/2021,1242.538843,RapeseedOil
5/1/2021,1272.790861,RapeseedOil
6/1/2021,1262.173715,RapeseedOil
7/1/2021,1325.092743,RapeseedOil
8/1/2021,1367.885273,RapeseedOil
9/1/2021,1367.019055,RapeseedOil
10/1/2021,1348.063867,RapeseedOil
11/1/2021,1325.773336,RapeseedOil
12/1/2021,1313.181252,RapeseedOil
1/1/2022,1314.9856,RapeseedOil
2/1/2022,1318.02174,RapeseedOil
3/1/2022,1280.402748,RapeseedOil
4/1/2022,1257.793067,RapeseedOil
5/1/2022,1228.999864,RapeseedOil
6/1/2022,1227.584336,RapeseedOil
7/1/2022,1182.622733,RapeseedOil
8/1/2022,1176.924122,RapeseedOil
1/1/2018,97.7,StainlessSteel
2/1/2018,97.4,StainlessSteel
3/1/2018,99.3,StainlessSteel
4/1/2018,103.3,StainlessSteel
5/1/2018,103.8,StainlessSteel
6/1/2018,103.7,StainlessSteel
7/1/2018,105.1,StainlessSteel
8/1/2018,105.8,StainlessSteel
9/1/2018,105.3,StainlessSteel
10/1/2018,106.2,StainlessSteel
11/1/2018,104.9,StainlessSteel
12/1/2018,102.5,StainlessSteel
1/1/2019,99.9,StainlessSteel
2/1/2019,99.7,StainlessSteel
3/1/2019,96.6,StainlessSteel
4/1/2019,96.2,StainlessSteel
5/1/2019,98.9,StainlessSteel
6/1/2019,98.2,StainlessSteel
7/1/2019,96.1,StainlessSteel
8/1/2019,97.7,StainlessSteel
9/1/2019,99.5,StainlessSteel
10/1/2019,103.6,StainlessSteel
11/1/2019,106.2,StainlessSteel
12/1/2019,104.8,StainlessSteel
1/1/2020,101.6,StainlessSteel
2/1/2020,101.7,StainlessSteel
3/1/2020,100.7,StainlessSteel
4/1/2020,99.8,StainlessSteel
5/1/2020,99,StainlessSteel
6/1/2020,99.6,StainlessSteel
7/1/2020,99.2,StainlessSteel
8/1/2020,97.7,StainlessSteel
9/1/2020,98.6,StainlessSteel
10/1/2020,99.9,StainlessSteel
11/1/2020,100.1,StainlessSteel
12/1/2020,101.2,StainlessSteel
1/1/2021,103.1,StainlessSteel
2/1/2021,106.9,StainlessSteel
3/1/2021,112.4,StainlessSteel
4/1/2021,113.9,StainlessSteel
5/1/2021,116.1,StainlessSteel
6/1/2021,117.9,StainlessSteel
7/1/2021,120.251,StainlessSteel
8/1/2021,124.321,StainlessSteel
9/1/2021,127.979,StainlessSteel
10/1/2021,131.353,StainlessSteel
11/1/2021,133.804,StainlessSteel
12/1/2021,135.924,StainlessSteel
1/1/2022,142.326,StainlessSteel
2/1/2022,147.669,StainlessSteel
3/1/2022,150.012,StainlessSteel
4/1/2022,159.175,StainlessSteel
